name,price,image,link,discount,rating,reviews,price_category,value_score,phone_model,ram,storage,camera,battery,color,specification
AIEK M6  Mini Smartphone 2GB RAM 16GB ROM Android 7.0 Dual SIM Standby 3000mAh 3G Network Compact Mobile Phone,74480,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/6559814/1.jpg?7273,https://www.jumia.com.ng/aiek-m6-mini-smartphone-2gb-ram-16gb-rom-android-7.0-dual-sim-standby-3000mah-3g-network-compact-mobile-phone-418955605.html,18.0,3.0,1,Low,8.1e-05,aiek m6,2GB,16GB,Not Specified,3000mAh,Unknown,Mini Smartphone RAM ROM Android 7.0 Dual SIM Standby 3G Network Compact Mobile Phone
Vivo Y93s  Black 6GB 128GB 6.2'' HD+ Display 4230mAh Big Battery Face Unlock Smooth Octa-Core CPU + Free Power Bank,74500,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/4180914/1.jpg?1973,https://www.jumia.com.ng/renewed-vivo-y93s-black-6gb-128gb-6.2-hd-display-4230mah-big-battery-face-unlock-smooth-octa-core-cpu-free-power-bank-419081408.html,45.0,2.8,4,Low,0.000188,vivo y93s,6GB,128GB,Not Specified,4230mAh,Black,6.2'' HD Display Big Battery Face Unlock Smooth Octa Core CPU Free Power Bank
Vivo Y93s  Red 6GB 128GB 6.2'' HD+ Display 4230mAh Big Battery Face Unlock Smooth Octa-Core CPU + Free Power Bank,74500,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/2670914/1.jpg?0369,https://www.jumia.com.ng/renewed-vivo-y93s-red-6gb-128gb-6.2-hd-display-4230mah-big-battery-face-unlock-smooth-octa-core-cpu-free-power-bank-419076285.html,45.0,0.0,0,Low,0.0,vivo y93s,6GB,128GB,Not Specified,4230mAh,Red,6.2'' HD Display Big Battery Face Unlock Smooth Octa Core CPU Free Power Bank
"OPPO F7 6GB+128GB 6.23"" 25MP+16MP+25MP 3400mAh Face Unlock Dual SIM - Black",75000,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/8573914/1.jpg?0825,https://www.jumia.com.ng/renewed-oppo-f7-6gb128gb-6.23-25mp16mp25mp-3400mah-face-unlock-dual-sim-black-419375878.html,38.0,1.0,1,Low,2.7e-05,oppo f7,6GB,128GB,25MP+16MP+25MP,3400mAh,Black,"6.23"" Face Unlock Dual SIM"
"OPPO F7 6GB+128GB 6.23"" 25MP+16MP+25MP 3400mAh Face Unlock Dual SIM - Red",75000,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/4673914/1.jpg?2776,https://www.jumia.com.ng/renewed-oppo-f7-6gb128gb-6.23-25mp16mp25mp-3400mah-face-unlock-dual-sim-red-419376487.html,38.0,0.0,0,Low,0.0,oppo f7,6GB,128GB,25MP+16MP+25MP,3400mAh,Red,"6.23"" Face Unlock Dual SIM"
"IPhone 6 - 4.7"" - 1GB RAB/64GB ROM - 8Mpx - 4G - Reconditionné - 99.99%NEW - Space Grey",75514,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/8090904/1.jpg?6926,https://www.jumia.com.ng/renewed-iphone-6-4.7-1gb-rab64gb-rom-8mpx-4g-reconditionne-99.99new-space-grey-409090825.html,52.0,3.2,9,Low,0.000424,iphone 6,1GB,64GB,Not Specified,non,Grey,"4.7"" 1GB RAB ROM 8Mpx 4G Reconditionné 99.99%NEW Space"
itel A18 32GB ROM 2GB RAM ANDROID 12 GO EDITION FACE UNLOCK,76480,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/9451914/1.jpg?8524,https://www.jumia.com.ng/itel-a18-32gb-rom-2gb-ram-android-12-go-edition-face-unlock-419154927.html,8.0,0.0,0,Low,0.0,itel a18,2GB,32GB,Not Specified,non,Unknown,3 ROM RAM ANDROID 12 GO EDITION FACE UNLOCK
GEETIUM 4G Portable Fast Browsing Mini Android 4000Mah Phone,78200,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/5998014/1.jpg?7839,https://www.jumia.com.ng/geetium-4g-portable-fast-browsing-mini-android-4000mah-phone-410899572.html,28.0,4.3,8,Low,0.000495,geetium 4g portable fast browsing mini,NOT SPECIFIED,NOT SPECIFIED,Not Specified,4000mAh,Unknown,Portable Fast Browsing Mini Android Phone
"Iphone 6 - 4.7"" 1GB RAM+64GB ROM 99.9%NEW- 8Mpx Camera Touch ID Smartphone - 4G - Gold",78380,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/6090904/1.jpg?3291,https://www.jumia.com.ng/renewed-iphone-6-4.7-1gb-ram64gb-rom-99.9new-8mpx-camera-touch-id-smartphone-4g-gold-409090617.html,48.0,3.2,6,Low,0.000286,iphone 6,1GB,64GB,Not Specified,non,Gold,"4.7"" RAM ROM 99.9%NEW 8Mpx Camera Touch ID Smartphone 4G"
"Huawei Y9-6.5""-16 Mpx 6GB+128GB RAM Dual SIM -4000 MAh-Finger+Face Smartphone- Blue",78994,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/6090904/1.jpg?6534,https://www.jumia.com.ng/renewed-huawei-y9-6.5-16-mpx-6gb128gb-ram-dual-sim-4000-mah-fingerface-smartphone-blue-409090655.html,57.0,4.5,2,Low,0.000171,huawei y9,6GB,128GB,Not Specified,4000mAh,Blue,"6.5"" 16 Mpx RAM Dual SIM 4000 MAh Finger Face Smartphone"
"VILLAON V20 SE Smartphone / 5.0"" Big Display / 32GB ROM + 4GB RAM / 3000mAh Battery / Type-C Charging",80000,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/6290914/1.jpg?2236,https://www.jumia.com.ng/v20-se-smartphone-5.0-big-display-32gb-rom-4gb-ram-3000mah-battery-type-c-charging-villaon-mpg11909845.html,0.0,0.0,0,Low,0.0,villaon v20,4GB,32GB,Not Specified,3000mAh,Unknown,"SE Smartphone 5.0"" Big Display ROM RAM Battery Type C Charging"
"OPPO A31 6GB+128GB 6.5"" 8MP+12MP+2MP+2MP+8MP 4230mAh Finger Unlock Dual SIM - White",82500,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/6573914/1.jpg?0702,https://www.jumia.com.ng/renewed-oppo-a31-6gb128gb-6.5-8mp12mp2mp2mp8mp-4230mah-finger-unlock-dual-sim-white-419375666.html,42.0,0.0,0,Low,0.0,oppo a31,6GB,128GB,8MP+12MP+2MP+2MP+8MP,4230mAh,White,"6.5"" Finger Unlock Dual SIM"
Vivo MAMBA CERTIFIED  Y93s 6G+128G  6.2'' 13MP 4030mAh Facial Unlock DUAL SIM Red,85000,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/6894814/1.jpg?4311,https://www.jumia.com.ng/vivo-mamba-certified-y93s-6g128g-6.2-13mp-4030mah-facial-unlock-dual-sim-red-418498673.html,39.0,3.4,7,Low,0.00032,vivo mamba certified y93s,NOT SPECIFIED,NOT SPECIFIED,Not Specified,4030mAh,Red,Vivo MAMBA 6G 128G 6.2'' 13MP Facial Unlock DUAL SIM
"HONOR 8X 6GB+128GB 6.5"" 20MP+2MP+16MP+2MP 3750mAh Finger Unlock Dual SIM  Black",85500,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/6973914/1.jpg?5807,https://www.jumia.com.ng/renewed-honor-8x-6gb128gb-6.5-20mp2mp16mp2mp-3750mah-finger-unlock-dual-sim-black-419379645.html,43.0,0.0,0,Low,0.0,honor 8x,6GB,128GB,20MP+2MP+16MP+2MP,3750mAh,Black,"6.5"" Finger Unlock Dual SIM"
"V.POLO 6.6 inch phone, 4GB Ram 64GB Rom storage dual camera with fingerprint   5000mAh battery. dual SIM dual standby",86730,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/1730914/1.jpg?9742,https://www.jumia.com.ng/6.6-inch-phone-4gb-ram-64gb-rom-storage-dual-camera-with-fingerprint-5000mah-battery.-dual-sim-dual-standby-v.polo-mpg11965814.html,46.0,3.3,3,Low,0.000152,v.polo 6.6 inch,4GB,64GB,dual camera,5000mAh,Unknown,V..6 inch phone Ram 6 Rom storage with fingerprint battery. dual SIM dual standby
"Huawei Psmart+2019 4GB+128GB 6.21"" 13MP+2MP+8MP 3400mAh Finger Unlock Dual SIM  Black",87000,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/7973914/1.jpg?8575,https://www.jumia.com.ng/renewed-huawei-psmart2019-4gb128gb-6.21-13mp2mp8mp-3400mah-finger-unlock-dual-sim-black-419379748.html,34.0,0.0,0,Low,0.0,huawei y9,4GB,128GB,13MP+2MP+8MP,3400mAh,Black,"Huawei Psmart 2019 128.21"" Finger Unlock Dual SIM"
Apple iPhone 6s Rose Gold 16GB  4.7 Inch Retina HD Display 12MP Clear Camera Touch ID Fingerprint Unlock 4G LTE Fast Network,88895,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/7770914/1.jpg?6339,https://www.jumia.com.ng/apple-iphone-6s-rose-gold-16gb-4.7-inch-retina-hd-display-12mp-clear-camera-touch-id-fingerprint-unlock-4g-lte-fast-network-419077749.html,41.0,0.0,0,Low,0.0,iphone 6s,NOT SPECIFIED,NOT SPECIFIED,Not Specified,non,Gold,Rose 16GB 4.7 Inch Retina HD Display 12MP Clear Camera Touch ID Fingerprint Unlock 4G LTE Fast Network
OPPO A31 Red  6GB 128GB  6.5” HD+ Large Display Face Unlock & Fingerprint Sensor Powerful Performance  + Free Power Bank,89385,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/8441914/1.jpg?0093,https://www.jumia.com.ng/renewed-oppo-a31-red-6gb-128gb-6.5-hd-large-display-face-unlock-fingerprint-sensor-powerful-performance-free-power-bank-419144879.html,39.0,0.0,0,Low,0.0,oppo a31,6GB,128GB,Not Specified,non,Red,6.5” HD Large Display Face Unlock & Fingerprint Sensor Powerful Performance Free Power Bank
OPPO A31 Black  6GB 128GB  6.5” HD+ Large Display Face Unlock & Fingerprint Sensor Powerful Performance  + Free Power Bank,89385,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/4541914/1.jpg?4632,https://www.jumia.com.ng/renewed-oppo-a31-black-6gb-128gb-6.5-hd-large-display-face-unlock-fingerprint-sensor-powerful-performance-free-power-bank-419145460.html,39.0,0.0,0,Low,0.0,oppo a31,6GB,128GB,Not Specified,non,Black,6.5” HD Large Display Face Unlock & Fingerprint Sensor Powerful Performance Free Power Bank
"Huawei Y9 2019 Black 6.5"" 6+128G 16MP+2MP 4000mAh With Free EasyPie 10000mAh 37W Power Bank",89907,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/1250914/1.jpg?9262,https://www.jumia.com.ng/renewed-huawei-y9-2019-black-6.5-6128g-16mp2mp-4000mah-with-free-easypie-10000mah-37w-power-bank-419052109.html,70.0,5.0,1,Low,0.000111,huawei y9,NOT SPECIFIED,NOT SPECIFIED,16MP+2MP,4000mAh,Black,"2019 6.5"" 6 128G With Free EasyPie 10000mAh 37W Power Bank"
"FreeYond FreeYond M5,4GB+128GB,4G 6.52"" Smartphone 5000mAh,Grey",91830,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/5829252/1.jpg?3827,https://www.jumia.com.ng/freeyond-freeyond-m54gb128gb4g-6.52-smartphone-5000mahgrey-252928543.html,53.0,3.8,367,Low,0.015228,freeyond m6,4GB,128GB,Not Specified,5000mAh,Grey,"FreeYond 4G 6.52"" Smartphone"
"Hmd ARC, 4GB RAM + 64GB ROM, 6.5, 5000mAh, 13MP (Dual SIM)",91990,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/5980114/1.jpg?0371,https://www.jumia.com.ng/hmd-arc-4gb-ram-64gb-rom-6.5-5000mah-13mp-dual-sim-411089565.html,23.0,4.3,20,Low,0.000982,hmd,4GB,64GB,Not Specified,5000mAh,Unknown,Hmd ARC RAM 6 ROM 6.5 13MP (Dual SIM)
Unknown Product,91990,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/5980114/1.jpg?0371,https://www.jumia.com.ng/hmd-arc-4gb-ram-64gb-rom-6.5-5000mah-13mp-dual-sim-411089565.html,0.0,0.0,0,Low,0.0,unknown product,NOT SPECIFIED,NOT SPECIFIED,Not Specified,non,Unknown,Unknown Product
AIEK XS24 Pro 2+16GB Face Recognition Smartphone-Black,92500,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/4490093/1.jpg?7206,https://www.jumia.com.ng/aiek-xs24-pro-216gb-face-recognition-smartphone-black-390094485.html,0.0,3.0,1,Low,6.5e-05,aiek xs24 pro,16GB + 2GB,NOT SPECIFIED,Not Specified,non,Black,Pro 2 16GB Face Recognition Smartphone
"itel l A06 6.6"" HD+, 64GB ROM + Up To 2GB RAM, 4000mAh, 4G LTE, 8MP - Gold",92550,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/4892914/1.jpg?6166,https://www.jumia.com.ng/itel-l-a06-6.6-hd-64gb-rom-up-to-2gb-ram-4000mah-4g-lte-8mp-gold-419298404.html,5.0,0.0,0,Low,0.0,itel l a06,2GB,64GB,Not Specified,4000mAh,Gold,"itel 6.6"" HD ROM Up To RAM 4G LTE 8MP"
Apple iPhone 6s RoseGold 32GB  4.7 Inch Retina HD Display 12MP Clear Camera Touch ID Fingerprint Unlock 4G LTE Fast Network,92895,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/8901914/1.jpg?4149,https://www.jumia.com.ng/apple-iphone-6s-rosegold-32gb-4.7-inch-retina-hd-display-12mp-clear-camera-touch-id-fingerprint-unlock-4g-lte-fast-network-419109807.html,25.0,0.0,0,Low,0.0,Apple iPhone 6s,NOT SPECIFIED,NOT SPECIFIED,Not Specified,non,Gold,Rose 32GB 4.7 Inch Retina HD Display 12MP Clear Camera Touch ID Fingerprint Unlock 4G LTE Fast Network
"Hotwav Android Smartphone,6.75"" 120Hz Display,12GB(3+9) RAM 64GB ROM,5160mAh Battery,Dual Camera 13+5MP,Fingerprint, 4G Dual SIM",94500,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/7761914/1.jpg?4191,https://www.jumia.com.ng/android-smartphone6.75-120hz-display12gb39-ram-64gb-rom5160mah-batterydual-camera-135mpfingerprint-4g-dual-sim-hotwav-mpg11962448.html,48.0,1.0,1,Low,2.1e-05,hotwav,12GB,64GB,Dual Camera,5160mAh,Unknown,"Hotwav Android Smartphone 6.75"" 120Hz Display 12GB(3 9) ROM Battery 13 5MP Fingerprint 4G Dual SIM"
redbeat D5 Smartphone 6.52inch IPS HD 4GB + 64GB ROM-Black,95550,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/2580763/1.jpg?3390,https://www.jumia.com.ng/redbeat-d5-smartphone-6.52inch-ips-hd-4gb-64gb-rom-black-367085247.html,46.0,3.6,255,Low,0.009645,redbeat d5 smartphone 6.52inch ips,4GB,64GB,Not Specified,non,Black,Smartphone 6.52inch IPS HD 6 ROM
"itel A100C 6.6"" 2GB RAM/64GB ROM 5000mAh  - Titanium Gold",95900,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/4477814/1.jpg?5421,https://www.jumia.com.ng/itel-a100c-6.6-2gb-ram64gb-rom-5000mah-titanium-gold-418774434.html,4.0,3.9,259,Low,0.010574,itel a100c,2GB,64GB,Not Specified,5000mAh,Titanium,"6.6"" RAM ROM Titanium"
Unknown Product,95900,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/4477814/1.jpg?5421,https://www.jumia.com.ng/itel-a100c-6.6-2gb-ram64gb-rom-5000mah-titanium-gold-418774434.html,0.0,0.0,0,Low,0.0,unknown product,NOT SPECIFIED,NOT SPECIFIED,Not Specified,non,Unknown,Unknown Product
"itel A100C 6.6"" 2GB RAM/64GB ROM 5000mAh - Black",95900,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/4477814/1.jpg?5504,https://www.jumia.com.ng/itel-a100c-6.6-2gb-ram64gb-rom-5000mah-black-418774433.html,4.0,3.7,123,Low,0.004784,itel a100c,2GB,64GB,Not Specified,5000mAh,Black,"6.6"" RAM ROM"
Apple iPhone 6s Grey 32GB  4.7 Inch Retina HD Display 12MP Clear Camera Touch ID Fingerprint Unlock 4G LTE Fast Network,97895,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/8901914/1.jpg?2631,https://www.jumia.com.ng/apple-iphone-6s-grey-32gb-4.7-inch-retina-hd-display-12mp-clear-camera-touch-id-fingerprint-unlock-4g-lte-fast-network-419109802.html,37.0,0.0,0,Low,0.0,Apple iPhone 6s,NOT SPECIFIED,NOT SPECIFIED,Not Specified,non,Grey,32GB 4.7 Inch Retina HD Display 12MP Clear Camera Touch ID Fingerprint Unlock 4G LTE Fast Network
Apple iPhone 6s Rose Gold 64GB  4.7 Inch Retina HD Display 12MP Clear Camera Touch ID Fingerprint Unlock 4G LTE Fast Network,97895,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/1011914/1.jpg?0327,https://www.jumia.com.ng/apple-iphone-6s-rose-gold-64gb-4.7-inch-retina-hd-display-12mp-clear-camera-touch-id-fingerprint-unlock-4g-lte-fast-network-419110147.html,38.0,0.0,0,Low,0.0,iphone 6s,NOT SPECIFIED,NOT SPECIFIED,Not Specified,non,Gold,Rose 64GB 4.7 Inch Retina HD Display 12MP Clear Camera Touch ID Fingerprint Unlock 4G LTE Fast Network
"FreeYond FreeYond M5,8GB+128GB,4G 6.52"" Smartphone 5000mAh,Blue",100533,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/5209902/1.jpg?7684,https://www.jumia.com.ng/freeyond-freeyond-m58gb128gb4g-6.52-smartphone-5000mahblue-209902515.html,48.0,4.3,40,Medium,0.001754,freeyond m6,8GB,128GB,Not Specified,5000mAh,Blue,"FreeYond 12 4G 6.52"" Smartphone"
"Poco C71  6.88"" 3GB RAM / 64GB ROM Android 15 - Black",101032,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/1105814/1.jpg?6833,https://www.jumia.com.ng/poco-c71-6.88-3gb-ram-64gb-rom-android-15-black-418501178.html,6.0,4.1,208,Medium,0.008481,poco c71,3GB,64GB,Not Specified,non,Black,"6.88"" RAM ROM Android 15"
"Hotwav Android Smartphone,6.75"" 120Hz Display,12GB(3+9) RAM 64GB ROM,5160mAh Battery,Dual Camera 13+5MP,Fingerprint, 4G Dual SIM",102885,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/9941914/1.jpg?9234,https://www.jumia.com.ng/hotwav-android-smartphone6.75-120hz-display12gb39-ram-64gb-rom5160mah-batterydual-camera-135mpfingerprint-4g-dual-sim-419149922.html,42.0,5.0,1,Medium,9.7e-05,hotwav,12GB,64GB,Dual Camera,5160mAh,Unknown,"Hotwav Android Smartphone 6.75"" 120Hz Display 12GB(3 9) ROM Battery 13 5MP Fingerprint 4G Dual SIM"
"FreeYond FreeYond M5,8GB+128GB,4G 6.52"" Smartphone 5000mAh,Black",104285,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/9487902/1.jpg?3202,https://www.jumia.com.ng/freeyond-freeyond-m58gb128gb4g-6.52-smartphone-5000mahblack-209784981.html,47.0,4.0,302,Medium,0.011622,freeyond m6,8GB,128GB,Not Specified,5000mAh,Black,"FreeYond 12 4G 6.52"" Smartphone"
"itel  A100C 64/2+4gb, 6.6"" Super Clear Display 5000mah Ultra-Link Free Call DTS Sound IR Remote Control - Black",104990,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/3992914/1.jpg?0738,https://www.jumia.com.ng/itel-a100c-6424gb-6.6-super-clear-display-5000mah-ultra-link-free-call-dts-sound-ir-remote-control-black-419299332.html,1.0,0.0,0,Medium,0.0,itel a100c,4GB + 2GB,NOT SPECIFIED,Not Specified,5000mAh,Black,"64 2 4gb 6.6"" Super Clear Display Ultra Link Free Call DTS Sound IR Remote Control"
"itel  A80 , 64/3gb, 6.7"" Super Clear Display 5000mah, 50MP - Blue",105499,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/4134914/1.jpg?2401,https://www.jumia.com.ng/itel-a80-643gb-6.7-super-clear-display-5000mah-50mp-blue-419431434.html,12.0,0.0,0,Medium,0.0,itel a80,NOT SPECIFIED,NOT SPECIFIED,Not Specified,5000mAh,Blue,"64 3gb 6.7"" Super Clear Display 50MP"
"U-FM A56, 6.7 inch Punch Screen,8MP+13MP Beauty Camera,128GB Memory 580omAh Big Battery ,Side Fingerprint ,Face Unlock",107310,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/0824914/1.jpg?5623,https://www.jumia.com.ng/u-fm-a56-6.7-inch-punch-screen8mp13mp-beauty-camera128gb-memory-580omah-big-battery-side-fingerprint-face-unlock-419428070.html,44.0,0.0,0,Medium,0.0,not specified,NOT SPECIFIED,NOT SPECIFIED,8MP+13MP,non,Unknown,U 6.7 inch Punch Screen Beauty Camera 128GB Memory 580omAh Big Battery Side Fingerprint Face Unlock
Honor  PLAY 10 3GB+64GB ANDROID 15 (GO EDITION),107700,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/7259814/1.jpg?4408,https://www.jumia.com.ng/honor-play-10-3gb64gb-android-15-go-edition-418952715.html,28.0,4.0,1,Medium,7.4e-05,honor play 10,3GB,64GB,Not Specified,non,Unknown,ANDROID 15 (GO EDITION)
